Ferrari;"Moto Esmeril 6""";"Esmeril 6"" modelo ME-6, 127/220 Volts, Peso 6.0 Kg";215
Tramontina;Alicate de bico laranja;Alicate de bico linha Tramontina-Pro Modelo 44006/006, 1000V;67,9
Dexter; Alicate Desencapador;Alicate desencapador de fio, Modelo DB06A1-18, 1000V, IEC 60900;234,89
Spanta;" Chave Philips 3/16"" x 1.5""";Chave Philips cabo laranja;16,51
Tramontina;"Chave Philips 1/4x5"" - 6x125mm";Chave Philips linha Tramontina-Pro Modelo 44110/031 Vanadium ponta imantada;14,99
mtx;"Chave Philips 1/4x4"" - 6x100mm"; Chave Philips Chrome Vanadium com ponta imantada;15,11
mtx;"Chave de Fenda 1/4x4"" - 6x100mm"; Chave de Fenda Chrome Vanadium com ponta imantada;13,9
Tramontina;"Chave de Fenda 3/16x4"" - 5x100mm"; Chave de Fenda linha Tramontina-Pro Modelo 44110/021 Vanadium ponta imantada;17,77
NonBrand;Chave Combinada com Catraca 11 mm; Chave Combinada com Catraca 11 mm Chrome Vanadium;31,08
NonBrand;"Alicate Corte Diagonal 6""";" Alicate Corte Diagonal 6"" 1000V";39,9
Tramontina;"Alicate de Pressão Mordente Reto 10""";"Alicate de Pressão Mordente Reto 10"" 44013/110 Tramontina-Pro";84,55
Tramontina;Chave Inglesa 14/15 mm;Chave Inglesa Tramontina 14/15 mm;53,63
NonBrand;Chave de fenda catraca magnética;Chave de fenda catraca magnética Positivo e Negativo Antiderrapante Ferramenta manual;50
NonBrand;Estilete corta fio;Estilete corta fio;10
Western;"Paquímetro Digital 150mm - 6""";"Paquímetro Digital 150mm - 6"", Linha Profissional Pro";54,99
NonBrand;Jogo de Chaves Allen Hexagonais;Jogo de Chaves Allen Hexagonais Longas 9 Peças 1,5 a 10mm Aço Cromo Vanadio Alta;75,23
NonBrand;Chaves Allen Hexagonais 6mm;Chaves Allen Hexagonais 6mm;4,24
Dexter;Martelo de Unha 27mm;Martelo de Unha 27mm;24,9
Dexter;Espátula cabo de madeira;Espátula cabo de madeira;8,92
Dexter;Formão cabo de borracha;Formão cabo de borracha;46,9
Stamaco;Jogo de chaves torx T9 - T40;Jogo de chaves torx T9 - T40;24,99
Bosch;Jogo de Bits 36 peças;Jogo de Bits Impact Control 36 Peças 2608522365 Bosch;346,4
Dremel;kit para lixar micro-retífica;kit para lixar micro-retífica Dremel;72,9
NonBrand;Óculos de segurança;Óculos de segurança;3,19
Danny;Luvas de Proteção emborrachadas;Luvas de Proteção emborrachadas MaxiGrip PRO;10,52
NonBrand;Nível pequeno;Nível pequeno;17,9
Starret;Serra para tico-tico;Serra para tico-tico Starret BU418;16,82
Irwin;Lápis de Pedreiro;Lápis de Pedreiro Médio Strait-Line;6,28
Western;Calibrador de Pneus;Calibrador de Pneus 150 PSI, Linha Auto;28,14
NonBrand;Jogo de Serra Copo p/ Madeira;Jogo de Serra Copo p/ Madeira;20,47
Bosch;Esmeril para furadeira;Esmeril para furadeira Bosch 17081338;44,56
